name,position,age,matches,goals,own_goals,assists,yellow_cards,red_cards,substituted_on,substituted_off,market_value
Kylian Mbappé,Right Winger,19,18,15,0,8,4,1,3,2,180
Neymar,Left Winger,26,21,16,0,13,5,0,1,5,180
Lionel Messi,Right Winger,31,13,14,0,6,1,0,1,1,180
Mohamed Salah,Right Winger,26,17,8,0,4,0,0,1,6,150
Harry Kane,Centre-Forward,25,21,11,0,3,4,0,1,4,150
Antoine Griezmann,Centre-Forward,27,22,8,0,4,1,0,0,8,150
Kevin De Bruyne,Attacking Midfield,27,5,0,0,1,1,0,3,2,150
Philippe Coutinho,Attacking Midfield,26,20,6,0,4,1,0,4,10,150
Eden Hazard,Left Winger,27,20,10,0,5,1,0,5,6,150
Paulo Dybala,Second Striker,25,18,6,0,3,2,0,3,6,110
Dele Alli,Attacking Midfield,22,13,2,0,1,0,0,3,3,100
Romelu Lukaku,Centre-Forward,25,19,9,0,2,2,0,3,2,100
Cristiano Ronaldo,Left Winger,33,15,9,0,6,0,1,0,0,100
Mauro Icardi,Centre-Forward,25,16,10,0,2,0,0,2,3,95
Marco Asensio,Left Winger,22,22,3,0,7,2,0,7,5,90
Sergej Milinkovic-Savic,Central Midfield,23,18,1,0,1,4,0,3,8,90
Leroy Sané,Left Winger,22,18,4,0,5,1,0,8,4,90
Saúl Níguez,Central Midfield,23,21,4,0,2,3,0,0,5,90
Raheem Sterling,Right Winger,23,18,9,0,7,2,0,1,7,90
Paul Pogba,Central Midfield,25,19,5,0,4,1,0,0,5,90
Isco,Attacking Midfield,26,16,3,0,2,1,0,4,6,90
Gareth Bale,Right Winger,29,18,7,0,6,2,0,1,11,90
Gabriel Jesus,Centre-Forward,21,17,6,0,0,0,0,8,5,80
Ousmane Dembélé,Left Winger,21,20,6,0,2,1,0,8,10,80
N'Golo Kanté,Defensive Midfield,27,20,1,0,1,4,0,2,1,80
Raphael Varane,Centre-Back,25,17,0,0,0,0,0,1,2,80
Roberto Firmino,Second Striker,27,20,5,0,2,0,0,4,7,80
Jan Oblak,Goalkeeper,25,17,0,0,0,0,0,0,0,80
James Rodriguez,Attacking Midfield,27,13,4,0,4,2,0,4,8,80
Marc-Andre ter Stegen,Goalkeeper,26,18,0,0,0,1,0,0,0,80
 Christian Eriksen,Attacking Midfield,26,15,3,0,4,0,0,3,1,80
Sergio Busquets,Defensive Midfield,30,21,0,0,0,5,0,2,5,80
Robert Lewandowski,Centre-Forward,30,20,15,0,5,0,0,0,4,80
Toni Kroos,Central Midfield,28,19,2,0,3,2,0,0,2,80
Sergio Aguero,Centre-Forward,30,15,11,0,3,4,0,1,10,80
Pierre-Emerick Aubameyang,Centre-Forward,29,16,9,0,1,0,0,4,9,75
Thomas Lemar,Left Winger,23,17,1,0,2,2,0,5,8,70
Sadio Mane,Left Winger,26,16,7,0,1,1,0,0,5,70
Samuel Umtiti,Centre-Back,25,9,0,0,1,2,0,1,1,70
Marco Verratti,Central Midfield,26,15,0,0,1,4,0,1,9,70
Koke,Central Midfield,26,15,3,0,1,4,0,2,0,70
Jordi Alba,Left-Back,29,18,2,0,8,1,0,1,0,70
David de Gea,Goalkeeper,28,21,0,0,0,0,0,0,1,70
Marcelo,Left-Back,30,10,3,0,1,3,0,0,2,70
Luis Suarez,Centre-Forward,31,19,11,0,7,5,0,1,3,70
Miralem Pjanic,Central Midfield,28,20,3,0,2,3,0,0,13,70
Ivan Rakitic,Central Midfield,30,20,3,0,3,3,0,2,3,70
Casemiro,Defensive Midfield,26,21,1,0,0,1,0,2,7,70
Naby Keita,Central Midfield,23,11,0,0,0,1,0,5,4,65
Marcus Rashford,Centre-Forward,21,19,5,0,2,1,1,6,8,65
